logFC	AveExpr	t	P.Value	adj.P.Val	B	log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3
CAGL0D01474g	2.2525	0.22025	14.1733937944853	4.26047814772726e-07	1.64108492863209e-05	7.04492250722108	-1.124	-1.0285	-0.5655	1.4055	1.1805	1.4535
CAGL0F06061g	1.5935	-0.0739166666666667	14.1475410593605	4.32304826774058e-07	1.64547343047416e-05	7.02938267885155	-0.982	-0.8335	-0.7965	0.6525	0.896	0.62
CAGL0J05984g	-1.905	-0.269833333333333	-14.1347320504309	4.35442880054738e-07	1.64547343047416e-05	7.02167270862834	0.8485	0.76	0.4395	-1.078	-1.3615	-1.2275
CAGL0B03069g	1.449	0.344333333333333	14.1291315051903	4.36822929034717e-07	1.64547343047416e-05	7.01829943024663	-0.2885	-0.34	-0.512	1.0045	1.147	1.055
CAGL0A01826g	1.94816666666667	-0.271916666666667	14.0391950373522	4.59666748319069e-07	1.69129235357645e-05	6.96394454779652	-1.149	-1.422	-1.167	0.656	0.945	0.5055
CAGL0G02673g	1.73016666666667	-0.277583333333333	14.0368804452664	4.60271998907263e-07	1.69129235357645e-05	6.9625410623124	-1.1115	-1.072	-1.2445	0.5715	0.3965	0.7945
CAGL0L01177g	1.94616666666667	0.351916666666667	14.0317344935743	4.61620821317139e-07	1.69129235357645e-05	6.95941990888869	-0.8115	-0.6805	-0.3715	1.432	1.3875	1.1555
CAGL0I01298g	-1.89866666666667	-0.33	-14.0295606591307	4.62191937342774e-07	1.69129235357645e-05	6.95810107634437	0.7535	0.579	0.5255	-1.283	-1.047	-1.508
CAGL0C03982g	1.3535	0.172916666666667	14.0151857190513	4.65988473938857e-07	1.69309145531118e-05	6.9493748479108	-0.4885	-0.571	-0.452	0.777	0.948	0.824
CAGL0G10175g	3.19783333333333	-0.259583333333333	13.9759064474883	4.76541161974411e-07	1.71923969915134e-05	6.92548468338086	-2.09	-2.122	-1.3635	1.225	1.105	1.688
